                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6927,                 2.6692,                  1.685,                 1.4607,                 5.5828,                 1.4929,                0.01583,                0.69773,                0.17963,                0.08601,                 1.5718,                 3.0441,                 1.7409,                  1.314,                 7.2191,                 1.5259,             0.00065625,             0.00065625,             0.00065625
                      2,                 1.5805,                 1.9669,                 1.5566,                 1.4719,                  3.897,                 1.4568,                0.30198,                0.37955,                0.26118,                0.10207,                 2.0007,                 4.8586,                 2.7173,                 1.7442,                 6.3966,                 2.2202,              0.0013025,              0.0013025,              0.0013025
                      3,                 1.5603,                 1.7499,                 1.5696,                 1.5506,                 2.9071,                 1.4905,                0.29878,                0.37045,                0.29213,                0.13134,                 1.7805,                   5.76,                 1.9478,                 1.7692,                  5.135,                 1.8758,               0.001928,               0.001928,               0.001928
                      4,                 1.5562,                 1.5874,                 1.5287,                 1.5411,                 2.2672,                  1.452,                0.37652,                0.43371,                 0.3584,                0.15442,                 1.8577,                 2.3445,                 1.9069,                 1.7619,                 2.7956,                 1.7626,              0.0019072,              0.0019072,              0.0019072
                      5,                 1.5047,                 1.4487,                 1.5228,                 1.5348,                 1.9036,                 1.4524,                0.58432,                0.54318,                0.51242,                0.24844,                 1.7527,                 1.7218,                 1.7675,                 1.7231,                 2.1671,                 1.6602,              0.0019072,              0.0019072,              0.0019072
                      6,                 1.4693,                 1.3285,                 1.4676,                 1.4905,                 1.7002,                 1.4191,                0.41493,                0.45292,                0.34078,                0.14978,                 1.8475,                 1.9154,                 1.7974,                 1.8353,                 2.3432,                 1.6917,              0.0018763,              0.0018763,              0.0018763
                      7,                  1.452,                 1.2982,                 1.4618,                 1.4971,                 1.6028,                 1.4134,                0.54407,                0.53182,                0.53745,                0.24438,                  1.866,                 1.5674,                 1.8187,                  1.841,                 1.8736,                 1.7404,              0.0018453,              0.0018453,              0.0018453
                      8,                 1.4159,                   1.24,                 1.4511,                 1.4618,                 1.5295,                 1.4065,                0.58006,                0.45909,                0.49819,                0.23005,                 1.7259,                 1.5349,                 1.7482,                 1.6597,                 1.8713,                 1.6285,              0.0018144,              0.0018144,              0.0018144
                      9,                 1.3606,                 1.1534,                 1.4018,                 1.4135,                 1.3714,                 1.3719,                0.61281,                0.58636,                 0.5896,                0.30483,                 1.5725,                 1.7268,                 1.5539,                 1.6263,                 1.8034,                 1.5542,              0.0017834,              0.0017834,              0.0017834
                     10,                 1.3461,                 1.1331,                 1.3746,                 1.4039,                 1.3701,                 1.3488,                0.70015,                0.67397,                  0.677,                0.34115,                  1.686,                 1.2117,                 1.6776,                 1.6889,                 1.3511,                 1.6144,              0.0017525,              0.0017525,              0.0017525
