                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7376,                 2.7094,                 1.7191,                  1.493,                 5.9454,                 1.5071,                0.51057,                 0.2282,                 0.3466,                0.16103,                 1.6658,                 2.6569,                 1.9996,                 1.2812,                 6.8276,                 1.4915,             0.00065657,             0.00065657,             0.00065657
                      2,                 1.5856,                 2.0094,                 1.5415,                 1.4645,                 4.1057,                 1.4175,                0.31375,                0.38462,                0.25934,                0.12296,                 1.7379,                  2.624,                  1.872,                 1.5313,                 5.1856,                 1.6428,              0.0013028,              0.0013028,              0.0013028
                      3,                 1.6021,                  1.813,                 1.5914,                 1.5357,                 3.0443,                 1.4923,                0.28373,                0.22837,                0.15352,                0.06127,                 1.9366,                 3.3716,                  1.989,                 1.7638,                 4.3082,                 1.7426,              0.0019283,              0.0019283,              0.0019283
                      4,                 1.5649,                 1.6161,                 1.5267,                 1.5599,                 2.3361,                 1.4587,                0.49459,                0.38942,                0.36767,                0.16474,                 1.7608,                 2.2245,                 1.5911,                 1.6879,                 2.7535,                 1.5158,              0.0019072,              0.0019072,              0.0019072
                      5,                  1.536,                 1.4811,                 1.5108,                 1.5426,                 1.9691,                 1.4753,                0.60059,                0.58413,                0.62403,                0.33023,                 1.4745,                 1.4761,                  1.463,                 1.5067,                 1.7608,                 1.4128,              0.0019072,              0.0019072,              0.0019072
                      6,                 1.4729,                 1.3574,                 1.4691,                 1.4967,                  1.715,                 1.4312,                0.61536,                0.63455,                0.65664,                0.35899,                 1.5122,                 1.2071,                 1.4878,                 1.4842,                 1.4847,                 1.4111,              0.0018763,              0.0018763,              0.0018763
                      7,                 1.4435,                 1.2926,                 1.4552,                 1.4919,                 1.6121,                 1.4422,                0.59886,                  0.625,                0.61888,                0.31347,                 1.6722,                   1.49,                 1.6007,                 1.6822,                 1.6753,                 1.5635,              0.0018453,              0.0018453,              0.0018453
                      8,                 1.3979,                 1.2131,                 1.4126,                 1.4499,                 1.4989,                  1.404,                0.66775,                0.65625,                0.69288,                0.37957,                 1.3945,                 1.3168,                 1.4226,                 1.4605,                 1.6827,                 1.4007,              0.0018144,              0.0018144,              0.0018144
                      9,                 1.3893,                 1.1749,                 1.3991,                 1.4726,                 1.4166,                 1.4045,                0.68233,                0.61538,                0.62344,                0.31332,                 1.7077,                 1.3838,                 1.6205,                 1.6659,                 1.5444,                 1.5611,              0.0017834,              0.0017834,              0.0017834
                     10,                 1.3391,                 1.1138,                 1.3667,                 1.3973,                 1.3715,                  1.367,                0.58546,                0.57933,                0.58087,                0.27953,                 1.7784,                 1.3647,                 1.6556,                 1.7642,                 1.5358,                 1.5909,              0.0017525,              0.0017525,              0.0017525
                     11,                 1.3602,                  1.114,                 1.3813,                 1.4106,                 1.3526,                 1.3769,                0.75952,                 0.6899,                0.77619,                0.44136,                 1.3719,                 1.0094,                 1.3532,                  1.353,                 1.1894,                 1.3082,              0.0017216,              0.0017216,              0.0017216
                     12,                 1.2972,                 1.0557,                 1.3336,                 1.3737,                 1.2644,                 1.3492,                0.76722,                0.67342,                0.76325,                 0.4228,                 1.4369,                0.97873,                 1.4091,                 1.4255,                 1.1331,                 1.3557,              0.0016906,              0.0016906,              0.0016906
                     13,                 1.3204,                  1.044,                 1.3589,                 1.3685,                  1.245,                 1.3527,                0.64674,                0.69952,                0.68967,                 0.3553,                 1.5766,                 1.1262,                 1.5097,                 1.5474,                 1.2905,                 1.4236,              0.0016597,              0.0016597,              0.0016597
                     14,                 1.2717,                 0.9956,                  1.332,                 1.3531,                 1.1608,                  1.336,                0.72704,                0.69952,                0.72321,                0.35465,                 1.6729,                 1.1966,                 1.6186,                 1.6464,                 1.2648,                 1.4994,              0.0016287,              0.0016287,              0.0016287
                     15,                 1.2225,                0.95225,                 1.2904,                 1.2981,                 1.1267,                 1.2943,                0.67791,                0.67797,                0.71997,                0.38405,                 1.4719,                 1.1675,                 1.4815,                 1.5021,                  1.429,                 1.4703,              0.0015978,              0.0015978,              0.0015978
                     16,                 1.2359,                0.92756,                 1.2971,                 1.3126,                 1.1156,                 1.3082,                0.77687,                0.67548,                0.75393,                0.40089,                 1.5051,                0.98204,                 1.4959,                 1.5372,                 1.1284,                 1.4721,              0.0015669,              0.0015669,              0.0015669
                     17,                 1.2149,                0.91104,                 1.2701,                 1.2906,                 1.0866,                  1.301,                0.72904,                0.58173,                0.67097,                0.37136,                 1.5211,                 1.1025,                 1.4867,                 1.5475,                 1.2433,                 1.4679,              0.0015359,              0.0015359,              0.0015359
                     18,                 1.2052,                0.89375,                 1.2802,                 1.2858,                 1.0581,                 1.2967,                0.74041,                0.70913,                0.77471,                0.43311,                 1.4081,                0.95827,                 1.3888,                  1.421,                 1.0835,                  1.369,               0.001505,               0.001505,               0.001505
                     19,                 1.1824,                0.87312,                 1.2659,                  1.244,                 1.0184,                 1.2808,                0.77485,                 0.7476,                0.81828,                 0.4539,                 1.3668,                0.94212,                 1.3769,                 1.4413,                 1.0537,                 1.3908,              0.0014741,              0.0014741,              0.0014741
                     20,                 1.1741,                0.86801,                 1.2416,                 1.2641,                  1.006,                  1.273,                0.73451,                0.74038,                0.75833,                0.41626,                 1.4322,                 0.9465,                 1.4192,                 1.4876,                 1.1009,                 1.4183,              0.0014431,              0.0014431,              0.0014431
                     21,                 1.1329,                 0.8264,                 1.2256,                 1.2022,                0.96718,                  1.242,                0.74518,                0.75919,                 0.7683,                 0.4492,                 1.3811,                0.88866,                 1.3653,                 1.3953,                 1.0224,                 1.3318,              0.0014122,              0.0014122,              0.0014122
                     22,                 1.1429,                0.80472,                 1.2274,                 1.2443,                0.92011,                 1.2543,                0.75809,                 0.7081,                0.72158,                0.41431,                 1.4309,                0.93203,                 1.4262,                 1.4104,                  1.139,                 1.3733,              0.0013813,              0.0013813,              0.0013813
                     23,                 1.1211,                0.81506,                   1.22,                 1.1936,                0.93852,                 1.2358,                0.75053,                0.78107,                0.78065,                0.41265,                  1.533,                0.88397,                 1.4797,                 1.5328,                0.95447,                 1.4488,              0.0013503,              0.0013503,              0.0013503
                     24,                 1.0918,                0.77774,                 1.1984,                 1.1825,                 0.8905,                 1.2189,                0.74539,                0.76202,                 0.7619,                0.43791,                 1.4786,                0.89401,                 1.4766,                 1.4968,                 1.0469,                 1.4242,              0.0013194,              0.0013194,              0.0013194
                     25,                 1.0782,                0.74586,                 1.1882,                 1.1669,                0.85252,                 1.2092,                0.81185,                   0.75,                 0.7972,                0.46989,                 1.4119,                 0.8602,                 1.4219,                 1.3769,                0.99269,                 1.3485,              0.0012884,              0.0012884,              0.0012884
                     26,                 1.0511,                0.73187,                 1.1807,                 1.1294,                0.83037,                 1.2072,                 0.7728,                0.75225,                0.80457,                 0.4671,                 1.3914,                0.86459,                 1.4202,                 1.4109,                0.97904,                 1.4047,              0.0012575,              0.0012575,              0.0012575
                     27,                 1.0491,                0.72268,                 1.1694,                 1.1338,                0.82728,                  1.197,                0.75257,                0.73845,                0.75276,                0.41496,                 1.5554,                0.88829,                 1.5103,                 1.5912,                  1.053,                 1.5133,              0.0012266,              0.0012266,              0.0012266
                     28,                 1.0379,                0.71676,                 1.1673,                 1.1292,                0.81513,                 1.1948,                0.80558,                0.80769,                0.84595,                0.46277,                 1.4662,                0.84646,                 1.4954,                 1.4827,                 0.8987,                 1.4773,              0.0011956,              0.0011956,              0.0011956
                     29,                 1.0279,                0.70939,                 1.1603,                 1.1204,                0.80214,                 1.1872,                0.78485,                0.72356,                0.79019,                 0.4471,                 1.4465,                0.87954,                 1.4268,                 1.4739,                 1.0294,                 1.4061,              0.0011647,              0.0011647,              0.0011647
                     30,                 1.0023,                0.68458,                 1.1458,                 1.0948,                0.78597,                 1.1742,                 0.8383,                0.79808,                0.84267,                  0.485,                 1.3925,                0.79941,                 1.4349,                 1.4191,                0.82369,                 1.3947,              0.0011337,              0.0011337,              0.0011337
                     31,                 1.0039,                0.67713,                 1.1413,                 1.0843,                0.76856,                 1.1734,                0.74787,                   0.75,                0.76937,                0.42999,                 1.4589,                0.90287,                 1.4364,                 1.4932,                 1.0699,                 1.4246,              0.0011028,              0.0011028,              0.0011028
                     32,                0.98336,                0.64968,                 1.1333,                  1.058,                0.73931,                 1.1617,                0.81066,                0.69988,                0.78125,                 0.4442,                 1.4682,                0.87719,                 1.4699,                 1.4529,                 1.0192,                 1.4229,              0.0010719,              0.0010719,              0.0010719
                     33,                0.97291,                0.64734,                 1.1296,                 1.0521,                0.72327,                 1.1595,                0.83006,                 0.8149,                0.84031,                0.49047,                  1.397,                0.73937,                 1.4306,                 1.4229,                0.83428,                 1.4137,              0.0010409,              0.0010409,              0.0010409
