                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7259,                 2.7226,                 1.6895,                 1.4764,                 5.5382,                 1.4849,                 0.2547,                0.19792,                0.13356,                0.06222,                 1.7946,                 3.0858,                  2.072,                 1.4931,                 7.0394,                 1.6914,             0.00065625,             0.00065625,             0.00065625
                      2,                 1.5899,                 1.9425,                  1.556,                 1.4671,                 3.8726,                 1.4495,                0.37538,                0.34792,                0.28279,                0.10202,                 2.0374,                  3.866,                 2.0579,                 1.7871,                  5.535,                 1.7922,              0.0013025,              0.0013025,              0.0013025
                      3,                 1.5777,                 1.7313,                 1.5371,                 1.5327,                 2.9464,                 1.4747,                 0.0068,                 0.0125,                0.00272,                0.00078,                 3.2888,                 6.6338,                 3.7657,                 2.8748,                 4.9786,                 3.7183,               0.001928,               0.001928,               0.001928
                      4,                 1.5797,                 1.6282,                 1.5315,                 1.5564,                 2.3083,                 1.4645,                0.33221,                0.38958,                0.30678,                0.13845,                 1.8597,                  3.515,                  1.966,                 1.9116,                  3.694,                 1.8505,              0.0019072,              0.0019072,              0.0019072
                      5,                  1.535,                 1.4571,                 1.5015,                 1.5358,                 1.9077,                 1.4391,                0.32134,                0.28333,                0.22265,                0.09369,                 2.4378,                 2.4547,                  2.942,                 2.5311,                 3.9878,                 3.1571,              0.0019072,              0.0019072,              0.0019072
                      6,                 1.4625,                 1.3127,                 1.4361,                 1.5036,                 1.6622,                 1.3759,                0.60823,                0.52708,                0.54863,                 0.2815,                 1.6156,                 1.8214,                 1.5801,                 1.6704,                 1.9673,                 1.5249,              0.0018763,              0.0018763,              0.0018763
                      7,                 1.4202,                 1.2628,                 1.4398,                 1.4956,                 1.5568,                 1.4161,                0.54126,                0.57083,                0.55721,                0.26279,                 1.6668,                  1.909,                 1.5909,                 1.7397,                 2.3723,                 1.5392,              0.0018453,              0.0018453,              0.0018453
                      8,                 1.4036,                 1.1769,                 1.4141,                  1.462,                 1.4197,                 1.3815,                0.70551,                0.67292,                0.70881,                0.37516,                 1.5124,                 1.1945,                 1.5209,                 1.5831,                 1.4439,                 1.4817,              0.0018144,              0.0018144,              0.0018144
                      9,                 1.3841,                 1.1578,                 1.4076,                 1.4342,                 1.3855,                 1.3822,                0.51714,                0.45417,                0.48155,                0.21748,                 1.9106,                 1.8042,                 1.7816,                 1.9325,                 2.0923,                 1.6734,              0.0017834,              0.0017834,              0.0017834
                     10,                 1.3786,                 1.1491,                 1.3967,                 1.4371,                 1.3489,                 1.3761,                0.65452,                0.64792,                0.68313,                0.36443,                 1.5303,                 1.3201,                 1.5411,                 1.6858,                 1.3699,                 1.5808,              0.0017525,              0.0017525,              0.0017525
