                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6948,                 2.6289,                 1.6906,                 1.4567,                 5.4935,                 1.4865,                0.07086,                0.71462,                0.28981,                0.15091,                 1.5294,                   2.96,                 1.7143,                 1.2753,                  6.955,                 1.4881,             0.00065625,             0.00065625,             0.00065625
                      2,                 1.5714,                 1.8929,                 1.5583,                 1.4688,                 3.7902,                 1.4481,                0.30775,                 0.2464,                0.19944,                0.07252,                 2.0194,                 2.9119,                  2.227,                 1.7544,                 5.3993,                  1.953,              0.0013025,              0.0013025,              0.0013025
                      3,                 1.5954,                  1.764,                  1.566,                 1.5488,                 2.8831,                  1.484,                0.22049,                 0.2217,                0.16259,                0.06185,                 2.1817,                  3.775,                 2.1284,                 2.0876,                 4.2424,                 2.0502,               0.001928,               0.001928,               0.001928
                      4,                 1.5873,                 1.6273,                 1.5456,                 1.5713,                  2.312,                 1.4903,                0.48221,                0.42925,                0.42888,                0.18254,                 1.7536,                 2.1775,                 1.8393,                 1.7337,                 2.7883,                  1.758,              0.0019072,              0.0019072,              0.0019072
                      5,                 1.4956,                 1.3948,                 1.4952,                 1.5057,                 1.8453,                 1.4516,                 0.1958,                0.08962,                 0.0738,                0.03925,                 2.2163,                 3.0455,                 2.2563,                 2.0062,                 3.5985,                 1.8592,              0.0019072,              0.0019072,              0.0019072
                      6,                 1.4567,                 1.3284,                 1.4633,                 1.4806,                 1.6797,                 1.4218,                0.33483,                0.42265,                0.31255,                0.14971,                 1.8078,                 2.3981,                 1.8878,                 1.7184,                 2.7655,                 1.7145,              0.0018763,              0.0018763,              0.0018763
                      7,                 1.4689,                  1.312,                 1.4778,                 1.5035,                 1.6172,                 1.4356,                0.55077,                0.54481,                0.53385,                0.27524,                 1.6818,                 1.6391,                 1.6217,                 1.5264,                 2.0301,                 1.5119,              0.0018453,              0.0018453,              0.0018453
                      8,                 1.4127,                 1.2228,                 1.4248,                 1.4468,                 1.5275,                 1.3893,                0.66481,                0.63915,                0.66923,                0.37664,                 1.5328,                 1.4709,                 1.5643,                 1.5526,                 1.6275,                 1.5168,              0.0018144,              0.0018144,              0.0018144
                      9,                 1.3623,                 1.1444,                 1.4033,                 1.4144,                 1.3999,                 1.3673,                0.65381,                0.56122,                0.63165,                0.33799,                 1.5978,                 1.4156,                 1.5945,                 1.5566,                 1.6131,                 1.5147,              0.0017834,              0.0017834,              0.0017834
                     10,                 1.3756,                 1.1295,                  1.397,                 1.4522,                 1.3453,                 1.3722,                0.65604,                 0.5938,                0.64118,                0.36259,                 1.5052,                 1.5152,                 1.5138,                 1.5028,                 1.6886,                 1.4701,              0.0017525,              0.0017525,              0.0017525
