,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),fitness
mean,0.8136244793077051,0.765065797516629,0.8248643576989456,0.4895281562442233,0.5230617763896955
std,0.038278498448839536,0.02219973586486824,0.010559550626834965,0.00925662883782632,0.008451189805569725
min,0.7487558963986002,0.7431818181818182,0.8139093754823635,0.4734601066719574,0.5087998743012163
max,0.8492726578529363,0.8004807692307693,0.8410201265589794,0.49690138837914544,0.5313132621971288
